"state","colorNoise","sizeNoise","nounNoise","alpha","Redundancy","Semantics","Utility","Context","Utterance","speakerProb","Language"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.9973353129443244","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.14708109418379392","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.05449141598019427","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.005169238776205005","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.000030402490195530612","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.2849405749984327","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.6160791548737226","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.7349363504767255","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.885037170182879","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.35300887403686","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.8081046384640488","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.9517356167472454","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.9974458043369625","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.40414981357610735","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.6227710790685336","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.7350284066126871","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.8850371871377971","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.20396304215725233","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.37710566043478494","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.5185919116912553","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.7505466212776768","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.22267573032835966","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.5805497586392582","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.7259876302564715","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.8788941634365905","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.41103555124138297","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.9485236601352972","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.99815315329837","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.9999971149980724","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.4246258171393219","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.8177593284324581","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.9160200794693519","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.9811711369294976","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.15964825448534983","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.042548220666364135","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.002464645321342293","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","High Scene Variation","small blue pin","0.000006268939639115527","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.3107271233527424","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.6856922786194685","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.8336027257777776","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue small","0.9617094218957942","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.40408353482288595","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.9225105299772682","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.9938316897001072","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","High Scene Variation","small pin blue","0.9999617869859935","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.42309459835143076","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.6896119230766329","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.8336339462330747","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"Size Redundant","Continuous","Incremental","High Scene Variation","pin blue and small + pin small and blue","0.9617094238454715","Vietnamese"
