"Scenario","state","colorNoise","sizeNoise","nounNoise","alpha","cost","Redundancy","Semantics","Utility","Context","Utterance","speakerProb","Language"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.00003395547559159454","Vietnamese"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.13839143361768483","English"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.0740878254090085","English"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.041457289773704345","English"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.015034509063676219","English"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.07331860297600014","Spanish"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.0025534120608916066","Spanish"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.0003096399989597827","Spanish"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.0000113805867346697","Spanish"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.1509011151131205","French"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.012088389776423387","French"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.00257350296736825","French"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.00023561148665950243","French"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.13919438999906994","Vietnamese"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.003954907014144313","Vietnamese"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.0005273540177937015","Vietnamese"
"2B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.000024413417942074515","Vietnamese"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.1270904046615314","English"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.0568536250933108","English"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.029436619981394314","English"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.009708680540161434","English"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.0993628520406174","Spanish"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.00410570015528029","Spanish"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.000617162293865332","Spanish"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.00003516494316012105","Spanish"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.18457584519526926","French"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.09154980330143533","French"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.05571493557733267","French"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.024798822182416955","French"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.14857404979352842","Vietnamese"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.004198421776404611","Vietnamese"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.0006202008358971474","Vietnamese"
"2A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.00003518266854972021","Vietnamese"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.10195965154930152","English"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.01818905602384509","English"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.0061315195604098914","English"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.0010959302269165198","English"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.07299606140568733","Spanish"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.002633515975151547","Spanish"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.00032341613568243787","Spanish"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.00001210644083864345","Spanish"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.12007512956219282","French"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.0041598530236387175","French"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.0005842331289026057","French"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.000028764953186611267","French"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.1387650510057052","Vietnamese"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.004129157475550259","Vietnamese"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.0005620671412195459","Vietnamese"
"3B","smallbluepin, bigbluepin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.000026812028926020708","Vietnamese"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.09763092733223683","English"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.01097024342047039","English"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.002732592149735691","English"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.0003088887006425753","English"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.09875309757307776","Spanish"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.004170874123542261","Spanish"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.0006306140865342163","Spanish"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.000036235215792758575","Spanish"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.1519166877750166","French"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.02541419390913669","French"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.007949698223153912","French"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.0012376749014531554","French"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.14785009676538152","Vietnamese"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.004265453887520009","Vietnamese"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.0006337351647493794","Vietnamese"
"3A","smallbluepin, smallredpin, bigredpin, smallblueball, bigblacksquare, bigredsquare, smallblacksquare, bigblackcircle",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.00003625358106467902","Vietnamese"
