"","gameid","roundNum","clickedObjCondition","clickedObjName","speakerMessages","attempt","gloss","replacedGloss","remove"
"33","2429-5",11,"size_sufficient","car_big_blue","largest blue auto","attempt1","largest blue auto","size color noun",0
"34","2429-5",12,"size_sufficient","cat_big_white","large white cat","attempt1","large white cat","size color noun",0
"35","2429-5",13,"size_sufficient","brush_small_blue","smallest blue brush","attempt1","smallest blue brush","size color noun",0
"36","2429-5",17,"color_sufficient","toothbrush_small_green","green brush","attempt1","green brush","color noun",0
"37","2429-5",18,"size_sufficient","clock_small_purple","small purple clock","attempt1","small purple clock","size color noun",0
"38","2429-5",19,"size_sufficient","glove_big_orange","large orange glove","attempt1","large orange glove","size color noun",0
"39","2429-5",20,"color_sufficient","skirt_small_green","green skirt","attempt1","green skirt","color noun",0
"40","2429-5",21,"size_sufficient","chair_big_yellow","large yellow chair","attempt1","large yellow chair","size color noun",0
"41","2429-5",23,"color_sufficient","lipstick_small_red","red lipstick","attempt1","red lipstick","color noun",0
"42","2429-5",25,"color_sufficient","tie_small_red","red tie","attempt1","red tie","color noun",0
"43","2429-5",32,"color_sufficient","umbrella_big_blue","blue umbrella","attempt1","blue umbrella","color noun",0
"44","2429-5",33,"color_sufficient","show_small_yellow","yellow shoe","attempt1","yellow shoe","color noun",0
"45","2429-5",36,"size_sufficient","dress_big_green","Large green dress","attempt1","Large green dress","size color noun",0
"46","2429-5",40,"color_sufficient","lighter_small_white","white lighter","attempt1","white lighter","color noun",0
"47","2429-5",42,"size_sufficient","apple_small_red","small red apple","attempt1","small red apple","size color noun",0
"48","2429-5",44,"size_sufficient","key_small_silver","small silver key","attempt1","small silver key","size color noun",0
"49","2429-5",45,"color_sufficient","pepper_big_red","red pepper","attempt1","red pepper","color noun",0
"50","2429-5",47,"color_sufficient","tshirt_big_orange","orange shirt","attempt1","orange shirt","color noun",0
"51","2429-5",49,"size_sufficient","bag_big_blue","large blue bag","attempt1","large blue bag","size color noun",0
"52","2429-5",50,"size_sufficient","flower_small_yellow","small yellow flower","attempt1","small yellow flower","size color noun",0
"53","2429-5",54,"color_sufficient","pot_small_green","green pan","attempt1","green pan","color noun",0
"54","2429-5",55,"color_sufficient","lock_small_gold","gold lock","attempt1","gold lock","color noun",0
"55","2429-5",58,"size_sufficient","knife_small_blue","small blue knife","attempt1","small blue knife","size color noun",0
"56","2429-5",59,"color_sufficient","pants_big_pink","pink pants","attempt1","pink pants","color noun",0
"57","2429-5",60,"size_sufficient","button_big_green","large green button","attempt1","large green button","size color noun",0
"58","0460-4",6,"size_sufficient","key_big_gold","biggest one among all","attempt1","biggest one among all","size noun among all",0
"59","0460-4",7,"size_sufficient","apple_small_green","smallest","attempt1","smallest","size",0
"60","0460-4",9,"size_sufficient","glasses_big_blue","biggest","attempt1","biggest","size",0
"61","0460-4",11,"color_sufficient","pants_small_pink","pink","attempt1","pink","color",0
"62","0460-4",15,"color_sufficient","toothbrush_big_green","green","attempt1","green","color",0
"63","0460-4",17,"color_sufficient","tie_big_red","red","attempt1","red","color",0
"64","0460-4",18,"color_sufficient","socks_small_green","green","attempt1","green","color",0
"65","0460-4",19,"size_sufficient","bag_small_blue","smallest","attempt1","smallest","size",0
"66","0460-4",21,"size_sufficient","brush_big_blue","biggest","attempt1","biggest","size",0
"67","0460-4",24,"color_sufficient","tshirt_big_orange","orange","attempt1","orange","color",0
"68","0460-4",25,"color_sufficient","pot_big_blue","blue","attempt1","blue","color",0
"69","0460-4",26,"color_sufficient","lipstick_small_red","red","attempt1","red","color",0
"70","0460-4",28,"color_sufficient","lighter_small_black","black","attempt1","black","color",0
"71","0460-4",31,"size_sufficient","ball_big_purple","big","attempt1","big","size",0
"72","0460-4",33,"size_sufficient","flower_big_pink","big","attempt1","big","size",0
"73","0460-4",34,"color_sufficient","pepper_small_red","red","attempt1","red","color",0
"74","0460-4",39,"size_sufficient","glove_big_green","green big","attempt1","green big","color size",0
"75","0460-4",40,"color_sufficient","lock_big_gold","yellow","attempt1","yellow","color",0
"76","0460-4",41,"color_sufficient","skirt_big_green","green","attempt1","green","color",0
"77","0460-4",42,"size_sufficient","button_big_blue","big","attempt1","big","size",0
"78","0460-4",44,"size_sufficient","dress_big_blue","big","attempt1","big","size",0
"79","0460-4",47,"size_sufficient","clock_big_purple","big","attempt1","big","size",0
"80","0460-4",51,"color_sufficient","shoe_big_yellow","yellow","attempt1","yellow","color",0
"81","0460-4",53,"color_sufficient","scissors_small_green","green","attempt1","green","color",0
"82","0460-4",56,"color_sufficient","umbrella_big_green","green","attempt1","green","color",0
"83","0460-4",57,"size_sufficient","chair_big_blue","big","attempt1","big","size",0
"84","0460-4",59,"size_sufficient","knife_small_red","small","attempt1","small","size",0
"85","0460-4",60,"size_sufficient","car_big_green","big","attempt1","big","size",0
"86","6611-1",6,"size_sufficient","clock_big_purple","purple.~~~~~~ umm___big!!","attempt1","purple.~~~~~~ umm","color.~~~~~~ umm",0
"87","6611-1",8,"size_sufficient","brush_big_blue","Big blue","attempt1","Big blue","size color",0
"88","6611-1",10,"size_sufficient","apple_small_red","small red","attempt1","small red","size color",0
"89","6611-1",11,"size_sufficient","ball_big_purple","big purple","attempt1","big purple","size color",0
"90","6611-1",12,"size_sufficient","knife_small_red","tiny","attempt1","tiny","size",0
"91","2180-1",6,"color_sufficient","pepper_small_red","red bell pepper","attempt1","red bell pepper","color noun",0
"92","2180-1",7,"size_sufficient","button_big_green","large green button","attempt1","large green button","size color noun",0
"93","2180-1",8,"color_sufficient","tie_small_blue","blue necktie","attempt1","blue necktie","color noun",0
"94","2180-1",9,"size_sufficient","bag_small_blue","small blue backpack","attempt1","small blue backpack","size color noun",0
"95","2180-1",12,"size_sufficient","cat_small_white","small white cat","attempt1","small white cat","size color noun",0
"96","2180-1",13,"color_sufficient","lock_small_gold","gold lock","attempt1","gold lock","color noun",0
"97","2180-1",14,"size_sufficient","brush_big_red","large red paintbrush","attempt1","large red paintbrush","size color noun",0
"98","2180-1",15,"color_sufficient","lipstick_small_pink","pink lipstick","attempt1","pink lipstick","color noun",0
"99","2180-1",16,"color_sufficient","lighter_small_white","white lighter","attempt1","white lighter","color noun",0
"100","2180-1",18,"size_sufficient","balloon_big_pink","there's no image selected so I don't know","attempt1","there's no image selected so I don't know","re's no image selected so i don't know",0
"101","2180-1",19,"size_sufficient","key_small_gold","small golden key","attempt1","small golden key","size coloren noun",0
"102","2180-1",21,"color_sufficient","socks_small_blue","blue socks","attempt1","blue socks","color noun",0
"103","2180-1",23,"color_sufficient","scissors_big_green","green scissors","attempt1","green scissors","color noun",0
"104","2180-1",29,"color_sufficient","tshirt_small_orange","orange tshirt","attempt1","orange tshirt","color noun",0
"105","2180-1",30,"size_sufficient","car_small_blue","small blue car","attempt1","small blue car","size color noun",0
"106","2180-1",31,"size_sufficient","flower_big_yellow","large yellow flower","attempt1","large yellow flower","size color noun",0
"107","2180-1",32,"size_sufficient","ball_big_purple","large purple ball","attempt1","large purple ball","size color noun",0
"108","2180-1",33,"size_sufficient","chair_big_blue","large blue chair","attempt1","large blue chair","size color noun",0
"109","2180-1",35,"color_sufficient","toothbrush_big_purple","purple toothbrush","attempt1","purple toothbrush","color noun",0
"110","2180-1",36,"color_sufficient","show_small_yellow","yellow sneaker","attempt1","yellow sneaker","color noun",0
"111","2180-1",41,"size_sufficient","apple_big_green","large green apple","attempt1","large green apple","size color noun",0
"112","2180-1",42,"color_sufficient","umbrella_small_blue","blue umbrella","attempt1","blue umbrella","color noun",0
"113","2180-1",44,"size_sufficient","dress_big_blue","large blue dress","attempt1","large blue dress","size color noun",0
"114","2180-1",47,"size_sufficient","clock_big_purple","large purple alarm clock","attempt1","large purple alarm clock","size color noun",0
"115","2180-1",48,"color_sufficient","skirt_small_blue","blue skirt","attempt1","blue skirt","color noun",0
"116","2180-1",51,"color_sufficient","pants_small_green","green pants","attempt1","green pants","color noun",0
"117","2180-1",52,"color_sufficient","pot_big_green","green pot","attempt1","green pot","color noun",0
"118","2180-1",53,"size_sufficient","glasses_big_red","large red glasses","attempt1","large red glasses","size color noun",0
"119","2180-1",54,"size_sufficient","knife_small_blue","small blue knife","attempt1","small blue knife","size color noun",0
"120","2180-1",60,"size_sufficient","glove_big_green","large green glove","attempt1","large green glove","size color noun",0
"121","7175-2",6,"size_sufficient","knife_small_blue","smallest blue knife","attempt1","smallest blue knife","size color noun",0
"122","7175-2",7,"size_sufficient","apple_big_green","largest green apple","attempt1","largest green apple","size color noun",0
"123","7175-2",11,"color_sufficient","socks_big_blue","blue socks","attempt1","blue socks","color noun",0
"124","7175-2",12,"size_sufficient","ball_small_yellow","smallest yellow ball","attempt1","smallest yellow ball","size color noun",0
"125","7175-2",13,"color_sufficient","umbrella_small_green","blue umbrella","attempt1","blue umbrella","color noun",0
"126","7175-2",14,"size_sufficient","key_small_silver","smallest silver key","attempt1","smallest silver key","size color noun",0
"127","7175-2",16,"size_sufficient","glove_big_green","largest green glove","attempt1","largest green glove","size color noun",0
"128","7175-2",17,"color_sufficient","pants_big_pink","pink pants","attempt1","pink pants","color noun",0
"129","7175-2",18,"color_sufficient","shoe_big_pink","pink shoe","attempt1","pink shoe","color noun",0
"130","7175-2",21,"size_sufficient","cat_small_white","smallest white cat","attempt1","smallest white cat","size color noun",0
"131","7175-2",22,"size_sufficient","car_small_blue","smallest blue car","attempt1","smallest blue car","size color noun",0
"132","7175-2",24,"color_sufficient","lighter_small_black","small black lighter___the black lighter","attempt1","small black lighter","size color noun",0
"133","7175-2",25,"color_sufficient","pepper_small_red","red peper","attempt1","red peper","color noun",0
"134","7175-2",26,"color_sufficient","tie_small_blue","blue tie","attempt1","blue tie","color noun",0
"135","7175-2",27,"color_sufficient","skirt_small_blue","blue dress___skirt","attempt1","blue dress","color noun",0
"136","7175-2",29,"color_sufficient","lock_small_gold","gold lock","attempt1","gold lock","color noun",0
"137","7175-2",32,"size_sufficient","balloon_big_yellow","yellow balloon","attempt1","yellow balloon","color noun",0
"138","7175-2",35,"size_sufficient","button_big_green","largest green button","attempt1","largest green button","size color noun",0
"139","7175-2",36,"size_sufficient","clock_small_purple","smallest purple clock","attempt1","smallest purple clock","size color noun",0
"140","7175-2",38,"color_sufficient","tshirt_small_orange","orange shirt","attempt1","orange shirt","color noun",0
"141","7175-2",39,"color_sufficient","scissors_big_green","green scissors","attempt1","green scissors","color noun",0
"142","7175-2",41,"color_sufficient","lipstick_small_red","red lipstick, not the pink","attempt1","red lipstick, not the pink","color noun, not color",0
"143","7175-2",43,"color_sufficient","pot_small_blue","blue pot","attempt1","blue pot","color noun",0
"144","7175-2",44,"size_sufficient","glasses_small_red","smallest red glasses","attempt1","smallest red glasses","size color noun",0
"145","7175-2",46,"size_sufficient","flower_big_pink","biggest pink flower","attempt1","biggest pink flower","size color noun",0
"146","7175-2",47,"size_sufficient","dress_big_green","biggest green dress","attempt1","biggest green dress","size color noun",0
"147","7175-2",50,"size_sufficient","brush_big_red","biggest red brush","attempt1","biggest red brush","size color noun",0
"148","7175-2",51,"color_sufficient","toothbrush_small_purple","purple toothbrush","attempt1","purple toothbrush","color noun",0
"149","7175-2",54,"size_sufficient","chair_small_yellow","smallest yellow chair","attempt1","smallest yellow chair","size color noun",0
"150","7175-2",57,"size_sufficient","bag_small_red","smallest red bookbag","attempt1","smallest red bookbag","size color booknoun",0
"151","7276-a",6,"size_sufficient","key_big_silver","The biggest key","attempt1","The biggest key"," size noun",0
"152","7276-a",7,"size_sufficient","glove_small_green","The smallest green glove","attempt1","The smallest green glove"," size color noun",0
"153","7276-a",8,"color_sufficient","pants_big_green","The green shorts ","attempt1","The green shorts "," color noun ",0
"154","7276-a",9,"size_sufficient","brush_small_red","The smallest red paint brush ","attempt1","The smallest red paint brush "," size color noun ",0
"155","3421-d",7,"color_sufficient","pants_small_pink","only one ","attempt1","only one ","only noun ",0
"156","3421-d",8,"size_sufficient","glasses_big_red","biggest","attempt1","biggest","size",0
"157","3421-d",9,"size_sufficient","bag_small_blue","smallest","attempt1","smallest","size",0
"158","6191-a",6,"color_sufficient","lighter_small_black","it is not white","attempt1","it is not white"," not color",0
"159","0834-b",10,"size_sufficient","dress_big_green","largest green item","attempt1","largest green item","size color noun",0
"160","0834-b",11,"size_sufficient","bag_big_red","largest red","attempt1","largest red","size color",0
"161","0834-b",12,"size_sufficient","brush_small_blue","smallest blue","attempt1","smallest blue","size color",0
"162","0834-b",15,"color_sufficient","lipstick_small_red","red","attempt1","red","color",0
"163","0834-b",16,"size_sufficient","button_small_blue","smallest button","attempt1","smallest button","size noun",0
"164","0834-b",19,"color_sufficient","pot_big_blue","blue","attempt1","blue","color",0
"165","0834-b",21,"size_sufficient","knife_big_blue","large blue","attempt1","large blue","size color",0
"166","0834-b",23,"size_sufficient","cat_big_white","largest white","attempt1","largest white","size color",0
"167","0834-b",24,"color_sufficient","umbrella_small_green","green","attempt1","green","color",0
"168","0834-b",25,"color_sufficient","show_small_yellow","yellow","attempt1","yellow","color",0
"169","0834-b",27,"size_sufficient","ball_small_purple","smallest purple","attempt1","smallest purple","size color",0
"170","0834-b",31,"color_sufficient","lock_small_silver","pink","attempt1","pink","color",0
"171","0834-b",32,"size_sufficient","car_small_green","smallest green","attempt1","smallest green","size color",0
"172","0834-b",34,"size_sufficient","balloon_big_yellow","yellow (i only have one image)","attempt1","yellow (i only have one image)","color (i only have noun image)",0
"173","0834-b",35,"color_sufficient","skirt_small_blue","blue","attempt1","blue","color",0
"174","0834-b",37,"color_sufficient","pants_big_green","green","attempt1","green","color",0
"175","0834-b",41,"color_sufficient","socks_small_blue","blue","attempt1","blue","color",0
"176","0834-b",46,"color_sufficient","toothbrush_big_purple","purple","attempt1","purple","color",0
"177","0834-b",48,"color_sufficient","tie_small_red","red","attempt1","red","color",0
"178","0834-b",49,"size_sufficient","key_small_gold","smallest brass key","attempt1","smallest brass key","size brass noun",0
"179","0834-b",52,"color_sufficient","lighter_small_black","small black","attempt1","small black","size color",0
"180","0834-b",55,"color_sufficient","pepper_big_green","green","attempt1","green","color",0
"181","0834-b",56,"size_sufficient","clock_big_purple","largest purple","attempt1","largest purple","size color",0
"182","0834-b",57,"size_sufficient","glove_big_green","largest green","attempt1","largest green","size color",0
"183","0834-b",58,"color_sufficient","scissors_big_green","green","attempt1","green","color",0
"184","0834-b",59,"color_sufficient","tshirt_small_orange","the only red/orange","attempt1","the only red/orange"," only color/color",0
"185","0834-b",60,"size_sufficient","flower_small_yellow","smallest","attempt1","smallest","size",0
"186","6362-d",6,"size_sufficient","cat_small_black","smaller black cat","attempt1","smaller black cat","size color noun",0
"187","6362-d",7,"size_sufficient","chair_small_blue","smaller blue chair","attempt1","smaller blue chair","size color noun",0
"188","6362-d",8,"color_sufficient","lock_small_silver","silver lock","attempt1","silver lock","color noun",0
"189","6362-d",10,"size_sufficient","button_big_blue","big blue button","attempt1","big blue button","size color noun",0
"190","6362-d",11,"size_sufficient","balloon_big_pink","pink balloon (all I can see)","attempt1","pink balloon (all I can see)","color noun (all i can see)",0
"191","6362-d",12,"size_sufficient","knife_small_blue","smaller blue knife","attempt1","smaller blue knife","size color noun",0
"192","6362-d",15,"color_sufficient","skirt_big_blue","blue skirt","attempt1","blue skirt","color noun",0
"193","6362-d",16,"size_sufficient","glove_small_orange","smaller orange","attempt1","smaller orange","size color",0
"194","6362-d",17,"color_sufficient","lighter_small_black","black","attempt1","black","color",0
"195","6362-d",19,"color_sufficient","shoe_big_pink","pink","attempt1","pink","color",0
"196","6362-d",20,"color_sufficient","pot_small_green","green","attempt1","green","color",0
"197","6362-d",27,"color_sufficient","tshirt_small_orange","orange","attempt1","orange","color",0
"198","6362-d",29,"size_sufficient","glasses_small_red","smaller red","attempt1","smaller red","size color",0
"199","6362-d",31,"color_sufficient","umbrella_big_green","green","attempt1","green","color",0
"200","6362-d",32,"size_sufficient","key_small_gold","smaller gold","attempt1","smaller gold","size color",0
"201","6362-d",34,"size_sufficient","brush_small_red","small red","attempt1","small red","size color",0
"202","6362-d",38,"size_sufficient","dress_big_blue","large blue","attempt1","large blue","size color",0
"203","6362-d",39,"size_sufficient","bag_big_red","large red","attempt1","large red","size color",0
"204","6362-d",40,"color_sufficient","scissors_small_green","green","attempt1","green","color",0
"205","6362-d",44,"size_sufficient","ball_small_yellow","small yellow","attempt1","small yellow","size color",0
"206","6362-d",45,"size_sufficient","apple_small_green","small green","attempt1","small green","size color",0
"207","6362-d",47,"color_sufficient","pants_small_green","green","attempt1","green","color",0
"208","6362-d",49,"color_sufficient","socks_small_blue","blue","attempt1","blue","color",0
"209","6362-d",50,"color_sufficient","lipstick_big_pink","pink","attempt1","pink","color",0
"210","6362-d",52,"color_sufficient","toothbrush_small_green","green","attempt1","green","color",0
"211","6362-d",53,"size_sufficient","clock_small_purple","smaller purple","attempt1","smaller purple","size color",0
"212","6362-d",55,"size_sufficient","flower_small_pink","smaller red","attempt1","smaller red","size color",0
"213","6362-d",57,"color_sufficient","pepper_big_green","green","attempt1","green","color",0
"214","6362-d",58,"color_sufficient","tie_big_red","red","attempt1","red","color",0
"215","6362-d",60,"size_sufficient","car_big_green","larger greebn","attempt1","larger greebn","sizer color",0
"216","1884-8",6,"size_sufficient","flower_big_yellow","the zoomed in item___the biggest one","attempt1","the zoomed in item"," zoomed in noun",0
"217","1884-8",11,"size_sufficient","bag_big_red","The giant looking one","attempt1","The giant looking one"," size looking noun",0
"218","1884-8",14,"size_sufficient","button_big_blue","The biggest one","attempt1","The biggest one"," size noun",0
"219","1884-8",15,"color_sufficient","pepper_big_green","Not the same as the others___yes","attempt1","Not the same as the others","not same as ors",0
"220","1884-8",18,"size_sufficient","knife_big_red","It's big!","attempt1","It's big!"," size",0
"221","1884-8",19,"size_sufficient","chair_small_yellow","Smallest item","attempt1","Smallest item","size noun",0
"222","7658-1",7,"size_sufficient","apple_big_green","biggest apple","attempt1","biggest apple","size noun",0
"223","7658-1",9,"size_sufficient","bag_small_blue","smallest","attempt1","smallest","size",0
"224","7658-1",10,"size_sufficient","chair_big_yellow","biggest","attempt1","biggest","size",0
"225","7658-1",12,"color_sufficient","skirt_big_green","green","attempt1","green","color",0
"226","7658-1",13,"size_sufficient","clock_big_yellow","biggest","attempt1","biggest","size",0
"227","7658-1",16,"size_sufficient","key_small_gold","smallest","attempt1","smallest","size",0
"228","7658-1",17,"size_sufficient","balloon_big_pink","balloon","attempt1","balloon","noun",0
"229","7658-1",18,"color_sufficient","scissors_big_green","green","attempt1","green","color",0
"230","7658-1",19,"color_sufficient","lighter_big_white","white","attempt1","white","color",0
"231","7658-1",21,"size_sufficient","knife_small_red","smallest","attempt1","smallest","size",0
"232","7658-1",23,"color_sufficient","umbrella_small_blue","blue","attempt1","blue","color",0
"233","7658-1",25,"color_sufficient","tshirt_big_orange","red","attempt1","red","color",0
"234","7658-1",26,"size_sufficient","brush_big_red","biggest","attempt1","biggest","size",0
"235","7658-1",31,"size_sufficient","car_big_green","big","attempt1","big","size",0
"236","7658-1",32,"size_sufficient","glasses_big_blue","big","attempt1","big","size",0
"237","7658-1",33,"color_sufficient","tie_small_red","small red","attempt1","small red","size color",0
"238","7658-1",37,"color_sufficient","shoe_small_pink","red","attempt1","red","color",0
"239","7658-1",38,"color_sufficient","pot_small_green","small green","attempt1","small green","size color",0
"240","7658-1",40,"color_sufficient","lipstick_big_red","red","attempt1","red","color",0
"241","7658-1",42,"size_sufficient","button_small_green","small","attempt1","small","size",0
"242","7658-1",43,"color_sufficient","pants_big_green","green","attempt1","green","color",0
"243","7658-1",44,"color_sufficient","socks_big_green","green","attempt1","green","color",0
"244","7658-1",46,"color_sufficient","pepper_big_red","red","attempt1","red","color",0
"245","7658-1",47,"size_sufficient","flower_big_yellow","big","attempt1","big","size",0
"246","7658-1",48,"size_sufficient","cat_small_white","small","attempt1","small","size",0
"247","7658-1",52,"size_sufficient","dress_big_green","big","attempt1","big","size",0
"248","7658-1",58,"color_sufficient","toothbrush_small_purple","purple","attempt1","purple","color",0
"249","7658-1",60,"size_sufficient","ball_small_purple","small","attempt1","small","size",0
"250","3187-1",8,"size_sufficient","clock_big_purple",";) ___extra large","attempt1",";) ",";) ",0
"251","3187-1",13,"size_sufficient","glove_big_orange","largest orange","attempt1","largest orange","size color",0
"252","3187-1",14,"color_sufficient","toothbrush_big_green","green","attempt1","green","color",0
"253","3187-1",17,"size_sufficient","brush_small_red","smallest","attempt1","smallest","size",0
"254","3187-1",18,"size_sufficient","ball_big_yellow","largest","attempt1","largest","size",0
"255","3187-1",19,"color_sufficient","lock_small_gold","yellow","attempt1","yellow","color",0
"256","3187-1",20,"size_sufficient","chair_big_blue","largest","attempt1","largest","size",0
"257","3187-1",21,"color_sufficient","tshirt_big_yellow","yellow","attempt1","yellow","color",0
"258","3187-1",23,"size_sufficient","key_small_silver","smallest","attempt1","smallest","size",0
"259","3187-1",24,"color_sufficient","pot_small_blue","blue","attempt1","blue","color",0
"260","3187-1",26,"color_sufficient","skirt_small_green","green","attempt1","green","color",0
"261","3187-1",29,"color_sufficient","pepper_big_green","green","attempt1","green","color",0
"262","3187-1",35,"size_sufficient","baloon_small_pink","no object ","attempt1","no object ","no noun ",0
"263","3187-1",36,"color_sufficient","shoe_big_yellow","yellow","attempt1","yellow","color",0
"264","3187-1",37,"size_sufficient","glasses_big_red","largest","attempt1","largest","size",0
"265","3187-1",38,"size_sufficient","button_big_blue","largest","attempt1","largest","size",0
"266","3187-1",39,"color_sufficient","lipstick_big_pink","pink, not red","attempt1","pink, not red","color, not color",0
"267","3187-1",40,"size_sufficient","cat_big_white","biggest","attempt1","biggest","size",0
"268","3187-1",42,"color_sufficient","scissors_big_blue","blue","attempt1","blue","color",0
"269","3187-1",43,"size_sufficient","dress_big_green","largest","attempt1","largest","size",0
"270","3187-1",45,"size_sufficient","bag_big_red","biggest","attempt1","biggest","size",0
"271","3187-1",46,"color_sufficient","lighter_big_black","black","attempt1","black","color",0
"272","3187-1",47,"color_sufficient","pants_big_green","green","attempt1","green","color",0
"273","3187-1",49,"size_sufficient","flower_big_yellow","largest","attempt1","largest","size",0
"274","3187-1",50,"color_sufficient","tie_small_red","red","attempt1","red","color",0
"275","3187-1",52,"size_sufficient","apple_small_green","smallest","attempt1","smallest","size",0
"276","3187-1",54,"size_sufficient","car_small_blue","smallest","attempt1","smallest","size",0
"277","3187-1",58,"color_sufficient","umbrella_big_blue","blue","attempt1","blue","color",0
"278","3187-1",60,"color_sufficient","socks_small_green","green","attempt1","green","color",0
"279","6326-d",6,"color_sufficient","scissors_small_blue","blue","attempt1","blue","color",0
"280","6326-d",9,"size_sufficient","dress_small_green","smallest","attempt1","smallest","size",0
"281","6326-d",10,"color_sufficient","socks_big_blue","blue","attempt1","blue","color",0
"282","6326-d",11,"size_sufficient","apple_big_red","largest","attempt1","largest","size",0
"283","6326-d",12,"color_sufficient","lighter_big_white","white","attempt1","white","color",0
"284","6326-d",13,"color_sufficient","pot_big_blue","blue","attempt1","blue","color",0
"285","6326-d",14,"size_sufficient","key_big_silver","largest","attempt1","largest","size",0
"286","6326-d",16,"size_sufficient","car_small_blue","smallest","attempt1","smallest","size",0
"287","6326-d",17,"size_sufficient","glove_small_orange","smallest","attempt1","smallest","size",0
"288","6326-d",21,"size_sufficient","brush_big_blue","largest","attempt1","largest","size",0
"289","6326-d",22,"size_sufficient","ball_small_purple","small purple","attempt1","small purple","size color",0
"290","6326-d",23,"color_sufficient","pepper_small_green","green","attempt1","green","color",0
"291","6326-d",25,"size_sufficient","glasses_big_red","largest","attempt1","largest","size",0
"292","6326-d",27,"color_sufficient","lock_small_silver","silver","attempt1","silver","color",0
"293","6326-d",28,"size_sufficient","bag_big_red","i mean it worked so whatever. largest","attempt1","i mean it worked so whatever. largest","i mean worked so whatever. size",0
"294","6326-d",32,"size_sufficient","clock_small_yellow","ah ok i hadn't read that___smallest","attempt1","ah ok i hadn't read that","ah ok i hadn't read that",0
"295","6326-d",35,"size_sufficient","button_small_green","smallest","attempt1","smallest","size",0
"296","6326-d",38,"color_sufficient","tshirt_small_orange","orange","attempt1","orange","color",0
"297","6326-d",42,"color_sufficient","toothbrush_small_green","green","attempt1","green","color",0
"298","6326-d",44,"size_sufficient","knife_small_blue","smallest","attempt1","smallest","size",0
"299","6326-d",47,"color_sufficient","lipstick_big_pink","pink","attempt1","pink","color",0
"300","6326-d",48,"size_sufficient","chair_small_yellow","smallest","attempt1","smallest","size",0
"301","6326-d",53,"size_sufficient","flower_big_pink","largest","attempt1","largest","size",0
